caseID;taskID;originator;eventtype;timestamp;defectType;phoneType;numberRepairs;defectFixed;
1;Register;System;complete;02-01-1970 08:23:00;;;;;
1;Analyze Defect;Tester3;start;02-01-1970 08:23:00;;;;;
1;Analyze Defect;Tester3;complete;02-01-1970 08:30:00;6;T2;;;
1;Repair (Complex);SolverC1;start;02-01-1970 08:31:00;;;;;
1;Repair (Complex);SolverC1;complete;02-01-1970 08:49:00;;;;;
1;Test Repair;Tester3;start;02-01-1970 08:49:00;;;;;
1;Test Repair;Tester3;complete;02-01-1970 08:55:00;;;0;true;
1;Inform User;System;complete;02-01-1970 09:10:00;;;;;
1;Archive Repair;System;complete;02-01-1970 09:10:00;;;0;true;
10;Register;System;complete;01-01-1970 07:09:00;;;;;
10;Analyze Defect;Tester2;start;01-01-1970 07:09:00;;;;;
10;Analyze Defect;Tester2;complete;01-01-1970 07:15:00;3;T1;;;
10;Repair (Simple);SolverS1;start;01-01-1970 07:35:00;;;;;
10;Repair (Simple);SolverS1;complete;01-01-1970 07:42:00;;;;;
10;Test Repair;Tester6;start;01-01-1970 07:42:00;;;;;
10;Test Repair;Tester6;complete;01-01-1970 07:48:00;;;1;false;
10;Restart Repair;System;complete;01-01-1970 07:54:00;;;;;
10;Repair (Simple);SolverS2;start;01-01-1970 07:54:00;;;;;
10;Inform User;System;complete;01-01-1970 07:55:00;;;;;
10;Repair (Simple);SolverS2;complete;01-01-1970 08:03:00;;;;;
10;Test Repair;Tester4;start;01-01-1970 08:03:00;;;;;
10;Test Repair;Tester4;complete;01-01-1970 08:09:00;;;2;true;
10;Archive Repair;System;complete;01-01-1970 08:14:00;;;2;true;
100;Register;System;complete;03-01-1970 22:28:00;;;;;
100;Analyze Defect;Tester4;start;03-01-1970 22:28:00;;;;;
100;Analyze Defect;Tester4;complete;03-01-1970 22:36:00;8;T2;;;
100;Repair (Complex);SolverC1;start;03-01-1970 22:52:00;;;;;
100;Repair (Complex);SolverC1;complete;03-01-1970 23:09:00;;;;;
100;Test Repair;Tester1;start;03-01-1970 23:09:00;;;;;
100;Test Repair;Tester1;complete;03-01-1970 23:18:00;;;0;true;
100;Inform User;System;complete;03-01-1970 23:20:00;;;;;
100;Archive Repair;System;complete;03-01-1970 23:28:00;;;0;true;
1000;Register;System;complete;22-01-1970 02:23:00;;;;;
1000;Analyze Defect;Tester6;start;22-01-1970 02:23:00;;;;;
1000;Analyze Defect;Tester6;complete;22-01-1970 02:28:00;3;T3;;;
1000;Repair (Simple);SolverS3;start;22-01-1970 02:35:00;;;;;
1000;Repair (Simple);SolverS3;complete;22-01-1970 02:49:00;;;;;
1000;Test Repair;Tester6;start;22-01-1970 02:49:00;;;;;
1000;Test Repair;Tester6;complete;22-01-1970 02:58:00;;;1;true;
1000;Inform User;System;complete;22-01-1970 03:03:00;;;;;
1000;Archive Repair;System;complete;22-01-1970 03:08:00;;;1;true;
101;Register;System;complete;03-01-1970 23:00:00;;;;;
101;Analyze Defect;Tester2;start;03-01-1970 23:00:00;;;;;
101;Analyze Defect;Tester2;complete;03-01-1970 23:05:00;8;T2;;;
101;Inform User;System;complete;03-01-1970 23:31:00;;;;;
101;Repair (Complex);SolverC3;start;03-01-1970 23:33:00;;;;;
101;Repair (Complex);SolverC3;complete;04-01-1970 00:14:00;;;;;
101;Test Repair;Tester6;start;04-01-1970 00:14:00;;;;;
101;Test Repair;Tester6;complete;04-01-1970 00:24:00;;;0;true;
101;Archive Repair;System;complete;04-01-1970 00:30:00;;;0;true;
102;Register;System;complete;03-01-1970 12:19:00;;;;;
102;Analyze Defect;Tester1;start;03-01-1970 12:19:00;;;;;
102;Analyze Defect;Tester1;complete;03-01-1970 12:25:00;9;T2;;;
102;Repair (Complex);SolverC3;start;03-01-1970 12:50:00;;;;;
102;Inform User;System;complete;03-01-1970 13:12:00;;;;;
102;Repair (Complex);SolverC3;complete;03-01-1970 13:32:00;;;;;
102;Test Repair;Tester6;start;03-01-1970 13:32:00;;;;;
